,0,1,Month,Actual year,index1,Date,All property types,City
2805,August,2002,August,2002,2805,Aug-02,"£74,072",leicester
2806,September,2002,September,2002,2806,Sep-02,"£75,718",leicester
2807,October,2002,October,2002,2807,Oct-02,"£76,867",leicester
2808,November,2002,November,2002,2808,Nov-02,"£78,125",leicester
2809,December,2002,December,2002,2809,Dec-02,"£79,933",leicester
2810,January,2003,January,2003,2810,Jan-03,"£81,762",leicester
2811,February,2003,February,2003,2811,Feb-03,"£83,394",leicester
2812,March,2003,March,2003,2812,Mar-03,"£84,749",leicester
2813,April,2003,April,2003,2813,Apr-03,"£86,131",leicester
2814,May,2003,May,2003,2814,May-03,"£88,203",leicester
2815,June,2003,June,2003,2815,Jun-03,"£90,303",leicester
2816,July,2003,July,2003,2816,Jul-03,"£92,058",leicester
2817,August,2003,August,2003,2817,Aug-03,"£93,701",leicester
2818,September,2003,September,2003,2818,Sep-03,"£95,913",leicester
2819,October,2003,October,2003,2819,Oct-03,"£98,016",leicester
2820,November,2003,November,2003,2820,Nov-03,"£98,079",leicester
2821,December,2003,December,2003,2821,Dec-03,"£99,175",leicester
2822,January,2004,January,2004,2822,Jan-04,"£99,322",leicester
2823,February,2004,February,2004,2823,Feb-04,"£101,755",leicester
2824,March,2004,March,2004,2824,Mar-04,"£102,157",leicester
2825,April,2004,April,2004,2825,Apr-04,"£105,538",leicester
2826,May,2004,May,2004,2826,May-04,"£108,389",leicester
2827,June,2004,June,2004,2827,Jun-04,"£112,186",leicester
2828,July,2004,July,2004,2828,Jul-04,"£113,908",leicester
2829,August,2004,August,2004,2829,Aug-04,"£115,858",leicester
2830,September,2004,September,2004,2830,Sep-04,"£118,124",leicester
2831,October,2004,October,2004,2831,Oct-04,"£118,884",leicester
2832,November,2004,November,2004,2832,Nov-04,"£118,661",leicester
2833,December,2004,December,2004,2833,Dec-04,"£118,499",leicester
2834,January,2005,January,2005,2834,Jan-05,"£117,243",leicester
2835,February,2005,February,2005,2835,Feb-05,"£117,798",leicester
2836,March,2005,March,2005,2836,Mar-05,"£116,127",leicester
2837,April,2005,April,2005,2837,Apr-05,"£118,283",leicester
2838,May,2005,May,2005,2838,May-05,"£118,735",leicester
2839,June,2005,June,2005,2839,Jun-05,"£119,755",leicester
2840,July,2005,July,2005,2840,Jul-05,"£120,625",leicester
2841,August,2005,August,2005,2841,Aug-05,"£121,998",leicester
2842,September,2005,September,2005,2842,Sep-05,"£122,312",leicester
2843,October,2005,October,2005,2843,Oct-05,"£121,165",leicester
2844,November,2005,November,2005,2844,Nov-05,"£120,383",leicester
2845,December,2005,December,2005,2845,Dec-05,"£120,835",leicester
2846,January,2006,January,2006,2846,Jan-06,"£121,129",leicester
2847,February,2006,February,2006,2847,Feb-06,"£121,305",leicester
2848,March,2006,March,2006,2848,Mar-06,"£120,257",leicester
2849,April,2006,April,2006,2849,Apr-06,"£121,591",leicester
2850,May,2006,May,2006,2850,May-06,"£121,797",leicester
2851,June,2006,June,2006,2851,Jun-06,"£124,406",leicester
2852,July,2006,July,2006,2852,Jul-06,"£124,702",leicester
2853,August,2006,August,2006,2853,Aug-06,"£125,558",leicester
2854,September,2006,September,2006,2854,Sep-06,"£124,727",leicester
2855,October,2006,October,2006,2855,Oct-06,"£124,493",leicester
2856,November,2006,November,2006,2856,Nov-06,"£125,950",leicester
2857,December,2006,December,2006,2857,Dec-06,"£127,443",leicester
2858,January,2007,January,2007,2858,Jan-07,"£129,361",leicester
2859,February,2007,February,2007,2859,Feb-07,"£128,699",leicester
2860,March,2007,March,2007,2860,Mar-07,"£129,234",leicester
2861,April,2007,April,2007,2861,Apr-07,"£130,612",leicester
2862,May,2007,May,2007,2862,May-07,"£132,448",leicester
2863,June,2007,June,2007,2863,Jun-07,"£133,672",leicester
2864,July,2007,July,2007,2864,Jul-07,"£133,788",leicester
2865,August,2007,August,2007,2865,Aug-07,"£134,574",leicester
2866,September,2007,September,2007,2866,Sep-07,"£134,668",leicester
2867,October,2007,October,2007,2867,Oct-07,"£135,317",leicester
2868,November,2007,November,2007,2868,Nov-07,"£134,749",leicester
2869,December,2007,December,2007,2869,Dec-07,"£134,369",leicester
2870,January,2008,January,2008,2870,Jan-08,"£132,529",leicester
2871,February,2008,February,2008,2871,Feb-08,"£133,357",leicester
2872,March,2008,March,2008,2872,Mar-08,"£133,546",leicester
2873,April,2008,April,2008,2873,Apr-08,"£133,917",leicester
2874,May,2008,May,2008,2874,May-08,"£131,824",leicester
2875,June,2008,June,2008,2875,Jun-08,"£130,569",leicester
2876,July,2008,July,2008,2876,Jul-08,"£129,543",leicester
2877,August,2008,August,2008,2877,Aug-08,"£127,963",leicester
2878,September,2008,September,2008,2878,Sep-08,"£125,824",leicester
2879,October,2008,October,2008,2879,Oct-08,"£124,893",leicester
2880,November,2008,November,2008,2880,Nov-08,"£121,320",leicester
2881,December,2008,December,2008,2881,Dec-08,"£116,354",leicester
2882,January,2009,January,2009,2882,Jan-09,"£111,536",leicester
2883,February,2009,February,2009,2883,Feb-09,"£110,071",leicester
2884,March,2009,March,2009,2884,Mar-09,"£112,231",leicester
2885,April,2009,April,2009,2885,Apr-09,"£111,537",leicester
2886,May,2009,May,2009,2886,May-09,"£111,781",leicester
2887,June,2009,June,2009,2887,Jun-09,"£111,151",leicester
2888,July,2009,July,2009,2888,Jul-09,"£113,199",leicester
2889,August,2009,August,2009,2889,Aug-09,"£114,999",leicester
2890,September,2009,September,2009,2890,Sep-09,"£115,659",leicester
2891,October,2009,October,2009,2891,Oct-09,"£115,396",leicester
2892,November,2009,November,2009,2892,Nov-09,"£115,241",leicester
2893,December,2009,December,2009,2893,Dec-09,"£116,596",leicester
2894,January,2010,January,2010,2894,Jan-10,"£117,402",leicester
2895,February,2010,February,2010,2895,Feb-10,"£117,738",leicester
2896,March,2010,March,2010,2896,Mar-10,"£116,773",leicester
2897,April,2010,April,2010,2897,Apr-10,"£117,182",leicester
2898,May,2010,May,2010,2898,May-10,"£118,387",leicester
2899,June,2010,June,2010,2899,Jun-10,"£119,853",leicester
2900,July,2010,July,2010,2900,Jul-10,"£121,511",leicester
2901,August,2010,August,2010,2901,Aug-10,"£122,784",leicester
2902,September,2010,September,2010,2902,Sep-10,"£123,275",leicester
2903,October,2010,October,2010,2903,Oct-10,"£122,842",leicester
2904,November,2010,November,2010,2904,Nov-10,"£120,495",leicester
2905,December,2010,December,2010,2905,Dec-10,"£120,662",leicester
2906,January,2011,January,2011,2906,Jan-11,"£117,934",leicester
2907,February,2011,February,2011,2907,Feb-11,"£119,033",leicester
2908,March,2011,March,2011,2908,Mar-11,"£118,394",leicester
2909,April,2011,April,2011,2909,Apr-11,"£119,436",leicester
2910,May,2011,May,2011,2910,May-11,"£118,235",leicester
2911,June,2011,June,2011,2911,Jun-11,"£118,368",leicester
2912,July,2011,July,2011,2912,Jul-11,"£118,935",leicester
2913,August,2011,August,2011,2913,Aug-11,"£120,307",leicester
2914,September,2011,September,2011,2914,Sep-11,"£120,261",leicester
2915,October,2011,October,2011,2915,Oct-11,"£120,414",leicester
2916,November,2011,November,2011,2916,Nov-11,"£120,236",leicester
2917,December,2011,December,2011,2917,Dec-11,"£119,474",leicester
2918,January,2012,January,2012,2918,Jan-12,"£119,941",leicester
2919,February,2012,February,2012,2919,Feb-12,"£117,830",leicester
2920,March,2012,March,2012,2920,Mar-12,"£119,152",leicester
2921,April,2012,April,2012,2921,Apr-12,"£117,490",leicester
2922,May,2012,May,2012,2922,May-12,"£118,155",leicester
2923,June,2012,June,2012,2923,Jun-12,"£118,417",leicester
2924,July,2012,July,2012,2924,Jul-12,"£120,370",leicester
2925,August,2012,August,2012,2925,Aug-12,"£122,405",leicester
2926,September,2012,September,2012,2926,Sep-12,"£121,885",leicester
2927,October,2012,October,2012,2927,Oct-12,"£122,006",leicester
2928,November,2012,November,2012,2928,Nov-12,"£121,879",leicester
2929,December,2012,December,2012,2929,Dec-12,"£121,613",leicester
2930,January,2013,January,2013,2930,Jan-13,"£121,520",leicester
2931,February,2013,February,2013,2931,Feb-13,"£121,815",leicester
2932,March,2013,March,2013,2932,Mar-13,"£121,934",leicester
2933,April,2013,April,2013,2933,Apr-13,"£121,896",leicester
2934,May,2013,May,2013,2934,May-13,"£122,723",leicester
2935,June,2013,June,2013,2935,Jun-13,"£123,315",leicester
2936,July,2013,July,2013,2936,Jul-13,"£123,502",leicester
2937,August,2013,August,2013,2937,Aug-13,"£124,123",leicester
2938,September,2013,September,2013,2938,Sep-13,"£125,927",leicester
2939,October,2013,October,2013,2939,Oct-13,"£126,206",leicester
2940,November,2013,November,2013,2940,Nov-13,"£125,567",leicester
2941,December,2013,December,2013,2941,Dec-13,"£124,318",leicester
2942,January,2014,January,2014,2942,Jan-14,"£125,784",leicester
2943,February,2014,February,2014,2943,Feb-14,"£126,878",leicester
2944,March,2014,March,2014,2944,Mar-14,"£127,339",leicester
2945,April,2014,April,2014,2945,Apr-14,"£128,099",leicester
2946,May,2014,May,2014,2946,May-14,"£128,149",leicester
2947,June,2014,June,2014,2947,Jun-14,"£130,193",leicester
2948,July,2014,July,2014,2948,Jul-14,"£130,253",leicester
2949,August,2014,August,2014,2949,Aug-14,"£131,306",leicester
2950,September,2014,September,2014,2950,Sep-14,"£131,037",leicester
2951,October,2014,October,2014,2951,Oct-14,"£131,894",leicester
2952,November,2014,November,2014,2952,Nov-14,"£131,191",leicester
2953,December,2014,December,2014,2953,Dec-14,"£131,430",leicester
2954,January,2015,January,2015,2954,Jan-15,"£131,505",leicester
2955,February,2015,February,2015,2955,Feb-15,"£133,388",leicester
2956,March,2015,March,2015,2956,Mar-15,"£132,951",leicester
2957,April,2015,April,2015,2957,Apr-15,"£134,531",leicester
2958,May,2015,May,2015,2958,May-15,"£134,063",leicester
2959,June,2015,June,2015,2959,Jun-15,"£135,172",leicester
2960,July,2015,July,2015,2960,Jul-15,"£135,164",leicester
2961,August,2015,August,2015,2961,Aug-15,"£137,166",leicester
2962,September,2015,September,2015,2962,Sep-15,"£139,993",leicester
2963,October,2015,October,2015,2963,Oct-15,"£140,200",leicester
2964,November,2015,November,2015,2964,Nov-15,"£140,256",leicester
2965,December,2015,December,2015,2965,Dec-15,"£140,363",leicester
2966,January,2016,January,2016,2966,Jan-16,"£142,324",leicester
2967,February,2016,February,2016,2967,Feb-16,"£144,270",leicester
2968,March,2016,March,2016,2968,Mar-16,"£144,014",leicester
2969,April,2016,April,2016,2969,Apr-16,"£143,906",leicester
2970,May,2016,May,2016,2970,May-16,"£145,751",leicester
2971,June,2016,June,2016,2971,Jun-16,"£148,119",leicester
2972,July,2016,July,2016,2972,Jul-16,"£150,041",leicester
2973,August,2016,August,2016,2973,Aug-16,"£149,313",leicester
2974,September,2016,September,2016,2974,Sep-16,"£149,960",leicester
2975,October,2016,October,2016,2975,Oct-16,"£151,550",leicester
2976,November,2016,November,2016,2976,Nov-16,"£151,925",leicester
2977,December,2016,December,2016,2977,Dec-16,"£152,755",leicester
2978,January,2017,January,2017,2978,Jan-17,"£150,315",leicester
2979,February,2017,February,2017,2979,Feb-17,"£151,327",leicester
2980,March,2017,March,2017,2980,Mar-17,"£152,368",leicester
2981,April,2017,April,2017,2981,Apr-17,"£155,313",leicester
2982,May,2017,May,2017,2982,May-17,"£155,287",leicester
2983,June,2017,June,2017,2983,Jun-17,"£156,174",leicester
2984,July,2017,July,2017,2984,Jul-17,"£157,865",leicester
2985,August,2017,August,2017,2985,Aug-17,"£161,720",leicester
2986,September,2017,September,2017,2986,Sep-17,"£162,169",leicester
2987,October,2017,October,2017,2987,Oct-17,"£162,157",leicester
2988,November,2017,November,2017,2988,Nov-17,"£161,994",leicester
2989,December,2017,December,2017,2989,Dec-17,"£162,814",leicester
2990,January,2018,January,2018,2990,Jan-18,"£165,538",leicester
2991,February,2018,February,2018,2991,Feb-18,"£166,441",leicester
2992,March,2018,March,2018,2992,Mar-18,"£165,212",leicester
2993,April,2018,April,2018,2993,Apr-18,"£165,742",leicester
2994,May,2018,May,2018,2994,May-18,"£166,020",leicester
2995,June,2018,June,2018,2995,Jun-18,"£170,059",leicester
2996,July,2018,July,2018,2996,Jul-18,"£169,342",leicester
2997,August,2018,August,2018,2997,Aug-18,"£171,367",leicester
2998,September,2018,September,2018,2998,Sep-18,"£170,960",leicester
2999,October,2018,October,2018,2999,Oct-18,"£172,765",leicester
3000,November,2018,November,2018,3000,Nov-18,"£173,244",leicester
3001,December,2018,December,2018,3001,Dec-18,"£174,632",leicester
3002,January,2019,January,2019,3002,Jan-19,"£172,451",leicester
3003,February,2019,February,2019,3003,Feb-19,"£168,644",leicester
3004,March,2019,March,2019,3004,Mar-19,"£166,813",leicester
3005,April,2019,April,2019,3005,Apr-19,"£169,579",leicester
3006,May,2019,May,2019,3006,May-19,"£174,050",leicester
3007,June,2019,June,2019,3007,Jun-19,"£176,246",leicester
3008,July,2019,July,2019,3008,Jul-19,"£176,434",leicester
3009,August,2019,August,2019,3009,Aug-19,"£177,161",leicester
3010,September,2019,September,2019,3010,Sep-19,"£177,683",leicester
3011,October,2019,October,2019,3011,Oct-19,"£178,447",leicester
3012,November,2019,November,2019,3012,Nov-19,"£177,150",leicester
3013,December,2019,December,2019,3013,Dec-19,"£178,941",leicester
3014,January,2020,January,2020,3014,Jan-20,"£179,341",leicester
3015,February,2020,February,2020,3015,Feb-20,"£181,625",leicester
3016,March,2020,March,2020,3016,Mar-20,"£183,663",leicester
3017,April,2020,April,2020,3017,Apr-20,"£182,362",leicester
3018,May,2020,May,2020,3018,May-20,"£182,411",leicester
3019,June,2020,June,2020,3019,Jun-20,"£182,286",leicester
3020,July,2020,July,2020,3020,Jul-20,"£187,085",leicester
3021,August,2020,August,2020,3021,Aug-20,"£187,323",leicester
3022,September,2020,September,2020,3022,Sep-20,"£186,777",leicester
3023,October,2020,October,2020,3023,Oct-20,"£188,013",leicester
3024,November,2020,November,2020,3024,Nov-20,"£192,204",leicester
3025,December,2020,December,2020,3025,Dec-20,"£194,314",leicester
3026,January,2021,January,2021,3026,Jan-21,"£197,097",leicester
3027,February,2021,February,2021,3027,Feb-21,"£198,242",leicester
3028,March,2021,March,2021,3028,Mar-21,"£202,377",leicester
3029,April,2021,April,2021,3029,Apr-21,"£201,509",leicester
3030,May,2021,May,2021,3030,May-21,"£202,816",leicester
3031,June,2021,June,2021,3031,Jun-21,"£204,136",leicester
3032,July,2021,July,2021,3032,Jul-21,"£203,749",leicester
3033,August,2021,August,2021,3033,Aug-21,"£204,663",leicester
3034,September,2021,September,2021,3034,Sep-21,"£203,942",leicester
3035,October,2021,October,2021,3035,Oct-21,"£210,890",leicester
3036,January,2004,January,2004,3036,Jan-04,"£140,164",city-of-edinburgh
3037,February,2004,February,2004,3037,Feb-04,"£139,171",city-of-edinburgh
3038,March,2004,March,2004,3038,Mar-04,"£142,279",city-of-edinburgh
3039,April,2004,April,2004,3039,Apr-04,"£150,103",city-of-edinburgh
3040,May,2004,May,2004,3040,May-04,"£159,387",city-of-edinburgh
3041,June,2004,June,2004,3041,Jun-04,"£165,899",city-of-edinburgh
3042,July,2004,July,2004,3042,Jul-04,"£168,120",city-of-edinburgh
3043,August,2004,August,2004,3043,Aug-04,"£168,478",city-of-edinburgh
3044,September,2004,September,2004,3044,Sep-04,"£166,835",city-of-edinburgh
3045,October,2004,October,2004,3045,Oct-04,"£163,368",city-of-edinburgh
3046,November,2004,November,2004,3046,Nov-04,"£159,661",city-of-edinburgh
3047,December,2004,December,2004,3047,Dec-04,"£160,831",city-of-edinburgh
3048,January,2005,January,2005,3048,Jan-05,"£162,810",city-of-edinburgh
3049,February,2005,February,2005,3049,Feb-05,"£162,917",city-of-edinburgh
3050,March,2005,March,2005,3050,Mar-05,"£163,056",city-of-edinburgh
3051,April,2005,April,2005,3051,Apr-05,"£163,822",city-of-edinburgh
3052,May,2005,May,2005,3052,May-05,"£168,346",city-of-edinburgh
3053,June,2005,June,2005,3053,Jun-05,"£170,467",city-of-edinburgh
3054,July,2005,July,2005,3054,Jul-05,"£171,380",city-of-edinburgh
3055,August,2005,August,2005,3055,Aug-05,"£173,446",city-of-edinburgh
3056,September,2005,September,2005,3056,Sep-05,"£173,777",city-of-edinburgh
3057,October,2005,October,2005,3057,Oct-05,"£173,432",city-of-edinburgh
3058,November,2005,November,2005,3058,Nov-05,"£171,565",city-of-edinburgh
3059,December,2005,December,2005,3059,Dec-05,"£172,227",city-of-edinburgh
3060,January,2006,January,2006,3060,Jan-06,"£174,923",city-of-edinburgh
3061,February,2006,February,2006,3061,Feb-06,"£178,540",city-of-edinburgh
3062,March,2006,March,2006,3062,Mar-06,"£177,340",city-of-edinburgh
3063,April,2006,April,2006,3063,Apr-06,"£178,859",city-of-edinburgh
3064,May,2006,May,2006,3064,May-06,"£181,519",city-of-edinburgh
3065,June,2006,June,2006,3065,Jun-06,"£188,105",city-of-edinburgh
3066,July,2006,July,2006,3066,Jul-06,"£191,013",city-of-edinburgh
3067,August,2006,August,2006,3067,Aug-06,"£192,986",city-of-edinburgh
3068,September,2006,September,2006,3068,Sep-06,"£193,174",city-of-edinburgh
3069,October,2006,October,2006,3069,Oct-06,"£196,778",city-of-edinburgh
3070,November,2006,November,2006,3070,Nov-06,"£197,167",city-of-edinburgh
3071,December,2006,December,2006,3071,Dec-06,"£200,409",city-of-edinburgh
3072,January,2007,January,2007,3072,Jan-07,"£198,143",city-of-edinburgh
3073,February,2007,February,2007,3073,Feb-07,"£196,575",city-of-edinburgh
3074,March,2007,March,2007,3074,Mar-07,"£196,502",city-of-edinburgh
3075,April,2007,April,2007,3075,Apr-07,"£203,508",city-of-edinburgh
3076,May,2007,May,2007,3076,May-07,"£212,856",city-of-edinburgh
3077,June,2007,June,2007,3077,Jun-07,"£216,012",city-of-edinburgh
3078,July,2007,July,2007,3078,Jul-07,"£219,446",city-of-edinburgh
3079,August,2007,August,2007,3079,Aug-07,"£220,318",city-of-edinburgh
3080,September,2007,September,2007,3080,Sep-07,"£225,750",city-of-edinburgh
3081,October,2007,October,2007,3081,Oct-07,"£222,240",city-of-edinburgh
3082,November,2007,November,2007,3082,Nov-07,"£222,938",city-of-edinburgh
3083,December,2007,December,2007,3083,Dec-07,"£221,519",city-of-edinburgh
3084,January,2008,January,2008,3084,Jan-08,"£221,473",city-of-edinburgh
3085,February,2008,February,2008,3085,Feb-08,"£219,181",city-of-edinburgh
3086,March,2008,March,2008,3086,Mar-08,"£215,828",city-of-edinburgh
3087,April,2008,April,2008,3087,Apr-08,"£218,323",city-of-edinburgh
3088,May,2008,May,2008,3088,May-08,"£220,731",city-of-edinburgh
3089,June,2008,June,2008,3089,Jun-08,"£221,013",city-of-edinburgh
3090,July,2008,July,2008,3090,Jul-08,"£222,149",city-of-edinburgh
3091,August,2008,August,2008,3091,Aug-08,"£217,074",city-of-edinburgh
3092,September,2008,September,2008,3092,Sep-08,"£215,605",city-of-edinburgh
3093,October,2008,October,2008,3093,Oct-08,"£208,420",city-of-edinburgh
3094,November,2008,November,2008,3094,Nov-08,"£203,810",city-of-edinburgh
3095,December,2008,December,2008,3095,Dec-08,"£197,389",city-of-edinburgh
3096,January,2009,January,2009,3096,Jan-09,"£192,135",city-of-edinburgh
3097,February,2009,February,2009,3097,Feb-09,"£186,317",city-of-edinburgh
3098,March,2009,March,2009,3098,Mar-09,"£183,029",city-of-edinburgh
3099,April,2009,April,2009,3099,Apr-09,"£183,500",city-of-edinburgh
3100,May,2009,May,2009,3100,May-09,"£191,240",city-of-edinburgh
3101,June,2009,June,2009,3101,Jun-09,"£198,704",city-of-edinburgh
3102,July,2009,July,2009,3102,Jul-09,"£203,928",city-of-edinburgh
3103,August,2009,August,2009,3103,Aug-09,"£205,960",city-of-edinburgh
3104,September,2009,September,2009,3104,Sep-09,"£206,839",city-of-edinburgh
3105,October,2009,October,2009,3105,Oct-09,"£210,371",city-of-edinburgh
3106,November,2009,November,2009,3106,Nov-09,"£213,694",city-of-edinburgh
3107,December,2009,December,2009,3107,Dec-09,"£213,496",city-of-edinburgh
3108,January,2010,January,2010,3108,Jan-10,"£211,528",city-of-edinburgh
3109,February,2010,February,2010,3109,Feb-10,"£208,583",city-of-edinburgh
3110,March,2010,March,2010,3110,Mar-10,"£208,825",city-of-edinburgh
3111,April,2010,April,2010,3111,Apr-10,"£210,307",city-of-edinburgh
3112,May,2010,May,2010,3112,May-10,"£209,188",city-of-edinburgh
3113,June,2010,June,2010,3113,Jun-10,"£213,388",city-of-edinburgh
3114,July,2010,July,2010,3114,Jul-10,"£215,061",city-of-edinburgh
3115,August,2010,August,2010,3115,Aug-10,"£217,061",city-of-edinburgh
3116,September,2010,September,2010,3116,Sep-10,"£216,702",city-of-edinburgh
3117,October,2010,October,2010,3117,Oct-10,"£212,717",city-of-edinburgh
3118,November,2010,November,2010,3118,Nov-10,"£214,028",city-of-edinburgh
3119,December,2010,December,2010,3119,Dec-10,"£212,705",city-of-edinburgh
3120,January,2011,January,2011,3120,Jan-11,"£211,468",city-of-edinburgh
3121,February,2011,February,2011,3121,Feb-11,"£205,306",city-of-edinburgh
3122,March,2011,March,2011,3122,Mar-11,"£200,527",city-of-edinburgh
3123,April,2011,April,2011,3123,Apr-11,"£200,611",city-of-edinburgh
3124,May,2011,May,2011,3124,May-11,"£203,745",city-of-edinburgh
3125,June,2011,June,2011,3125,Jun-11,"£204,731",city-of-edinburgh
3126,July,2011,July,2011,3126,Jul-11,"£204,995",city-of-edinburgh
3127,August,2011,August,2011,3127,Aug-11,"£206,052",city-of-edinburgh
3128,September,2011,September,2011,3128,Sep-11,"£207,699",city-of-edinburgh
3129,October,2011,October,2011,3129,Oct-11,"£206,755",city-of-edinburgh
3130,November,2011,November,2011,3130,Nov-11,"£204,832",city-of-edinburgh
3131,December,2011,December,2011,3131,Dec-11,"£200,193",city-of-edinburgh
3132,January,2012,January,2012,3132,Jan-12,"£199,178",city-of-edinburgh
3133,February,2012,February,2012,3133,Feb-12,"£197,288",city-of-edinburgh
3134,March,2012,March,2012,3134,Mar-12,"£198,408",city-of-edinburgh
3135,April,2012,April,2012,3135,Apr-12,"£199,585",city-of-edinburgh
3136,May,2012,May,2012,3136,May-12,"£201,292",city-of-edinburgh
3137,June,2012,June,2012,3137,Jun-12,"£204,493",city-of-edinburgh
3138,July,2012,July,2012,3138,Jul-12,"£207,417",city-of-edinburgh
3139,August,2012,August,2012,3139,Aug-12,"£208,998",city-of-edinburgh
3140,September,2012,September,2012,3140,Sep-12,"£208,183",city-of-edinburgh
3141,October,2012,October,2012,3141,Oct-12,"£204,767",city-of-edinburgh
3142,November,2012,November,2012,3142,Nov-12,"£201,201",city-of-edinburgh
3143,December,2012,December,2012,3143,Dec-12,"£197,342",city-of-edinburgh
3144,January,2013,January,2013,3144,Jan-13,"£192,286",city-of-edinburgh
3145,February,2013,February,2013,3145,Feb-13,"£190,669",city-of-edinburgh
3146,March,2013,March,2013,3146,Mar-13,"£190,272",city-of-edinburgh
3147,April,2013,April,2013,3147,Apr-13,"£195,962",city-of-edinburgh
3148,May,2013,May,2013,3148,May-13,"£200,714",city-of-edinburgh
3149,June,2013,June,2013,3149,Jun-13,"£206,193",city-of-edinburgh
3150,July,2013,July,2013,3150,Jul-13,"£205,827",city-of-edinburgh
3151,August,2013,August,2013,3151,Aug-13,"£206,746",city-of-edinburgh
3152,September,2013,September,2013,3152,Sep-13,"£205,173",city-of-edinburgh
3153,October,2013,October,2013,3153,Oct-13,"£207,220",city-of-edinburgh
3154,November,2013,November,2013,3154,Nov-13,"£205,849",city-of-edinburgh
3155,December,2013,December,2013,3155,Dec-13,"£207,630",city-of-edinburgh
3156,January,2014,January,2014,3156,Jan-14,"£204,809",city-of-edinburgh
3157,February,2014,February,2014,3157,Feb-14,"£203,842",city-of-edinburgh
3158,March,2014,March,2014,3158,Mar-14,"£201,852",city-of-edinburgh
3159,April,2014,April,2014,3159,Apr-14,"£205,874",city-of-edinburgh
3160,May,2014,May,2014,3160,May-14,"£210,438",city-of-edinburgh
3161,June,2014,June,2014,3161,Jun-14,"£217,551",city-of-edinburgh
3162,July,2014,July,2014,3162,Jul-14,"£221,507",city-of-edinburgh
3163,August,2014,August,2014,3163,Aug-14,"£222,404",city-of-edinburgh
3164,September,2014,September,2014,3164,Sep-14,"£222,389",city-of-edinburgh
3165,October,2014,October,2014,3165,Oct-14,"£220,657",city-of-edinburgh
3166,November,2014,November,2014,3166,Nov-14,"£221,384",city-of-edinburgh
3167,December,2014,December,2014,3167,Dec-14,"£220,980",city-of-edinburgh
3168,January,2015,January,2015,3168,Jan-15,"£220,923",city-of-edinburgh
3169,February,2015,February,2015,3169,Feb-15,"£224,325",city-of-edinburgh
3170,March,2015,March,2015,3170,Mar-15,"£233,832",city-of-edinburgh
3171,April,2015,April,2015,3171,Apr-15,"£229,154",city-of-edinburgh
3172,May,2015,May,2015,3172,May-15,"£226,849",city-of-edinburgh
3173,June,2015,June,2015,3173,Jun-15,"£215,796",city-of-edinburgh
3174,July,2015,July,2015,3174,Jul-15,"£222,665",city-of-edinburgh
3175,August,2015,August,2015,3175,Aug-15,"£223,091",city-of-edinburgh
3176,September,2015,September,2015,3176,Sep-15,"£226,709",city-of-edinburgh
3177,October,2015,October,2015,3177,Oct-15,"£225,877",city-of-edinburgh
3178,November,2015,November,2015,3178,Nov-15,"£227,833",city-of-edinburgh
3179,December,2015,December,2015,3179,Dec-15,"£229,377",city-of-edinburgh
3180,January,2016,January,2016,3180,Jan-16,"£227,589",city-of-edinburgh
3181,February,2016,February,2016,3181,Feb-16,"£225,331",city-of-edinburgh
3182,March,2016,March,2016,3182,Mar-16,"£226,971",city-of-edinburgh
3183,April,2016,April,2016,3183,Apr-16,"£228,250",city-of-edinburgh
3184,May,2016,May,2016,3184,May-16,"£227,953",city-of-edinburgh
3185,June,2016,June,2016,3185,Jun-16,"£219,977",city-of-edinburgh
3186,July,2016,July,2016,3186,Jul-16,"£222,506",city-of-edinburgh
3187,August,2016,August,2016,3187,Aug-16,"£223,346",city-of-edinburgh
3188,September,2016,September,2016,3188,Sep-16,"£228,195",city-of-edinburgh
3189,October,2016,October,2016,3189,Oct-16,"£228,219",city-of-edinburgh
3190,November,2016,November,2016,3190,Nov-16,"£228,292",city-of-edinburgh
3191,December,2016,December,2016,3191,Dec-16,"£225,226",city-of-edinburgh
3192,January,2017,January,2017,3192,Jan-17,"£226,400",city-of-edinburgh
3193,February,2017,February,2017,3193,Feb-17,"£225,668",city-of-edinburgh
3194,March,2017,March,2017,3194,Mar-17,"£224,861",city-of-edinburgh
3195,April,2017,April,2017,3195,Apr-17,"£224,654",city-of-edinburgh
3196,May,2017,May,2017,3196,May-17,"£228,787",city-of-edinburgh
3197,June,2017,June,2017,3197,Jun-17,"£233,928",city-of-edinburgh
3198,July,2017,July,2017,3198,Jul-17,"£239,016",city-of-edinburgh
3199,August,2017,August,2017,3199,Aug-17,"£242,076",city-of-edinburgh
3200,September,2017,September,2017,3200,Sep-17,"£245,796",city-of-edinburgh
3201,October,2017,October,2017,3201,Oct-17,"£243,986",city-of-edinburgh
3202,November,2017,November,2017,3202,Nov-17,"£244,341",city-of-edinburgh
3203,December,2017,December,2017,3203,Dec-17,"£242,843",city-of-edinburgh
3204,January,2018,January,2018,3204,Jan-18,"£245,980",city-of-edinburgh
3205,February,2018,February,2018,3205,Feb-18,"£250,962",city-of-edinburgh
3206,March,2018,March,2018,3206,Mar-18,"£252,455",city-of-edinburgh
3207,April,2018,April,2018,3207,Apr-18,"£254,391",city-of-edinburgh
3208,May,2018,May,2018,3208,May-18,"£252,323",city-of-edinburgh
3209,June,2018,June,2018,3209,Jun-18,"£255,612",city-of-edinburgh
3210,July,2018,July,2018,3210,Jul-18,"£255,999",city-of-edinburgh
